acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_peaks,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_peaks,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_peaks,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_peaks,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_peaks,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_peaks,mag_x_mean,mag_x_std,mag_x_min,mag_x_max,mag_x_range,mag_x_peaks,mag_y_mean,mag_y_std,mag_y_min,mag_y_max,mag_y_range,mag_y_peaks,mag_z_mean,mag_z_std,mag_z_min,mag_z_max,mag_z_range,mag_z_peaks,Label
0.281735,0.267098787,-0.0135,1.1021,1.1156,3,-0.005775,0.197458405,-0.1974,0.4678,0.6652,3,0.16685,0.835445428,-1.0948,1.269,2.3638,1,0.030115,0.080677607,-0.052,0.146,0.198,0,0.375725,0.068789693,0.2252,0.4415,0.2163,1,0.622025,0.121980231,0.485,0.8051,0.3201,0,5.74969,1.554570524,4.0312,7.7438,3.7126,0,9.669425,1.252537892,8.2313,11.2688,3.0375,1,-41.79375,0.667089059,-42.4875,-40.9125,1.575,1,Rotation Left
0.738565,0.326081986,0.3065,1.1894,0.8829,2,-0.05136,0.131590404,-0.2352,0.1898,0.425,4,-0.026885,0.371470563,-0.8468,0.5654,1.4122,1,-0.06849,0.102766974,-0.1704,0.146,0.3164,1,0.301185,0.05887346,0.2229,0.3609,0.138,1,0.63946,0.037918932,0.5962,0.6952,0.099,0,8.46377,1.090292054,7.7438,10.9688,3.225,0,8.32316,0.84077815,7.5,9.8063,2.3063,0,-41.527515,0.359617532,-42.1125,-41.175,0.9375,1,Rotation Left
1.27501,0.258942281,0.806,1.5847,0.7787,1,-0.04487,0.094718483,-0.1556,0.1366,0.2922,3,0.40749,0.512420408,-0.3365,1.1553,1.4918,2,-0.0209,0.186381523,-0.2926,0.1338,0.4264,1,0.43734,0.091949989,0.2229,0.5246,0.3017,0,0.80325,0.050937143,0.6952,0.8576,0.1624,1,12.124725,2.045998794,10.4813,15.5813,5.1,0,8.61472,0.721216374,7.5563,9.8063,2.25,0,-40.520655,1.131273728,-41.7188,-39,2.7188,0,Rotation Left
0.95435,0.315781386,0.5132,1.5392,1.026,1,0.065575,0.117001179,-0.1383,0.2369,0.3752,2,0.320735,0.318412814,-0.1044,0.7609,0.8653,2,0.10862,0.082689296,-0.0128,0.1815,0.1943,1,0.26327,0.186873985,0.0481,0.5246,0.4765,0,0.53436,0.119163671,0.3959,0.777,0.3811,0,15.933795,0.676874107,15.4688,17.8125,2.3437,1,6.060015,1.166597931,4.7063,8.9438,4.2375,0,-39.743485,0.290980472,-40.1063,-39,1.1063,1,Rotation Left
0.36326,0.218666301,-0.1027,0.8339,0.9366,1,0.099485,0.08788075,-0.0928,0.2062,0.299,1,-0.15222,0.197526043,-0.4409,0.12,0.5609,2,0.056715,0.117525977,-0.0397,0.2218,0.2615,2,0.07009,0.070594163,-0.0264,0.1874,0.2138,1,0.130795,0.096037542,0.017,0.3959,0.3789,0,17.42439,0.720093334,16.6313,18.7875,2.1562,0,4.832835,0.978516082,3.7688,6.1125,2.3437,0,-39.415355,0.697861706,-40.1063,-38.2875,1.8188,0,Rotation Left
0.02063,0.241058157,-0.3613,0.4722,0.8335,1,0.062445,0.058449367,-0.034,0.2131,0.2471,3,0.10923,0.121859005,-0.0361,0.3061,0.3422,2,-0.03679,0.031856097,-0.124,-0.008,0.116,1,-0.02611,0.088244994,-0.1192,0.0958,0.215,1,-0.04764,0.065342746,-0.1295,0.0366,0.1661,0,17.24437,0.911161565,16.3313,18.7875,2.4562,0,4.798175,0.523588504,4.3313,5.7938,1.4625,0,-39.19223,0.599773229,-39.8813,-38.2875,1.5938,1,Rotation Left
0.03238,0.245951476,-0.4902,0.2774,0.7676,3,0.126995,0.071525635,-0.0439,0.2836,0.3275,3,-0.01663,0.225464201,-0.3651,0.547,0.9121,2,-0.12271,0.081179381,-0.3109,-0.0727,0.2382,1,0.043205,0.097015161,-0.1192,0.1496,0.2688,1,-0.177375,0.12055373,-0.3201,-0.0183,0.3018,0,17.0513,0.553121822,16.3313,17.7188,1.3875,1,5.66441,0.49576268,4.4438,6.1688,1.725,1,-39.01502,0.379989262,-39.8813,-38.6813,1.2,1,Rotation Left
-0.240505,0.406535303,-0.9037,0.4641,1.3678,3,0.01041,0.25892215,-0.2933,0.4187,0.712,3,0.354605,0.585750942,-0.3897,1.3539,1.7436,3,-0.011425,0.222114738,-0.3109,0.2426,0.5535,1,0.0454,0.127232016,-0.1425,0.2326,0.3751,1,-0.0676,0.108419076,-0.3201,0,0.3201,1,15.27004,7.120511919,-4.6313,18.6188,23.2501,0,7.177515,2.690917714,0,12.7875,12.7875,1,-34.753135,11.61255755,-40.3125,0,40.3125,1,Rotation Left
-0.431705,0.19406852,-0.7897,-0.199,0.5907,2,0.03259,0.16639304,-0.266,0.2079,0.4739,2,0.289605,0.565449131,-0.5215,1.0562,1.5777,1,0.00777,0.090595508,-0.0936,0.1361,0.2297,0,-0.04731,0.332375732,-0.5474,0.2028,0.7502,0,0.21396,0.232283801,-0.0689,0.4956,0.5645,0,-4.89847,0.553181046,-5.5125,-3.6563,1.8562,0,12.989095,0.325136517,12.6938,13.4438,0.75,1,-40.51032,0.167158466,-40.7063,-40.3125,0.3938,1,Rotation Left
-0.13039,0.256779051,-0.5905,0.2576,0.8481,2,-0.16083,0.191624046,-0.3988,0.2818,0.6806,3,0.33788,0.505714446,-0.9345,1.1245,2.059,2,-0.044605,0.143844219,-0.2622,0.0591,0.3213,1,0.252215,0.194032475,0.0648,0.54,0.4752,0,0.88405,0.10278864,0.7692,1.022,0.2528,1,-2.2069,1.005818254,-3.6563,-0.825,2.8313,0,13.72503,0.581119341,13.1625,14.85,1.6875,0,-40.55255,0.429026879,-40.9688,-39.9188,1.05,1,Rotation Left
