time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-08-15T23:59:35.185Z,-0.571,1.0135,-0.7113,0.1763,-0.0461,0.0992,-1.7285,21.6026,-39.9485
2025-08-15T23:59:35.194Z,-0.6118,1.0424,-0.8467,0.1028,0.0123,0.0802,-1.669,21.5663,-39.8042
2025-08-15T23:59:35.204Z,-0.6384,1.157,-0.8848,0.0261,0.0645,0.0714,-1.7591,21.6991,-39.8001
2025-08-15T23:59:35.214Z,-0.6172,1.2194,-0.872,-0.0418,0.1062,0.0722,-1.6134,21.5622,-39.9252
2025-08-15T23:59:35.224Z,-0.6098,1.2169,-0.9011,-0.0954,0.1268,0.0683,-1.4503,21.4711,-39.6971
2025-08-15T23:59:35.234Z,-0.6402,1.2087,-0.876,-0.1375,0.1667,0.0515,-1.3101,21.3889,-39.8022
2025-08-15T23:59:35.246Z,-0.5903,1.2624,-0.7982,-0.1572,0.1734,0.038,-1.3685,21.4867,-39.738
2025-08-15T23:59:35.254Z,-0.5459,1.3738,-0.6315,-0.1373,0.1458,0.0335,-1.3529,21.5962,-39.7872
2025-08-15T23:59:35.265Z,-0.5849,1.4095,-0.485,-0.0882,0.0942,0.0217,-1.3353,21.6581,-39.6393
2025-08-15T23:59:35.275Z,-0.6503,1.3849,-0.3848,-0.0239,0.0328,0.003,-1.2468,21.6391,-39.5851
2025-08-15T23:59:35.284Z,-0.7175,1.2911,-0.2691,-0.0239,0.0328,0.003,-1.4074,21.8321,-39.6418
2025-08-15T23:59:35.295Z,-0.72,1.1745,-0.0656,0.0667,-0.026,0.0114,-1.3709,21.7642,-39.6552
2025-08-15T23:59:35.305Z,-0.7152,1.1281,0.0323,0.1126,-0.036,0.0513,-1.3433,21.5382,-39.6057
2025-08-15T23:59:35.314Z,-0.7046,1.1038,0.0449,0.1542,-0.0607,0.0809,-1.2365,21.6368,-39.7006
2025-08-15T23:59:35.325Z,-0.7475,1.068,0.1024,0.1866,-0.1321,0.0968,-1.3139,21.5601,-39.7257
2025-08-15T23:59:35.334Z,-0.8156,1.0143,0.2991,0.2144,-0.2291,0.08,-1.3517,21.4836,-39.6592
2025-08-15T23:59:35.345Z,-0.806,0.9297,0.4636,0.2295,-0.3296,0.0388,-1.567,21.2612,-39.7924
2025-08-15T23:59:35.355Z,-0.7354,0.927,0.5991,0.2468,-0.4065,-0.0038,-1.6802,21.2431,-40.0639
2025-08-15T23:59:35.365Z,-0.7067,0.9418,0.6472,0.2713,-0.4378,-0.023,-1.7012,20.9125,-39.9073
2025-08-15T23:59:35.375Z,-0.6804,0.9134,0.5984,0.3015,-0.3588,-0.0167,-1.7868,20.9734,-39.8085
2025-08-15T23:59:35.385Z,-0.6824,0.8672,0.4629,0.3332,-0.1838,0.0246,-2.0201,20.7811,-39.837
2025-08-15T23:59:35.395Z,-0.711,0.9495,0.3023,0.3648,-0.0419,0.0938,-2.0974,20.7456,-39.9823
2025-08-15T23:59:35.405Z,-0.7008,0.9746,0.3469,0.3726,0.0238,0.1495,-2.2183,20.8191,-40.112
2025-08-15T23:59:35.414Z,-0.7014,0.8725,0.5042,0.3482,-0.0063,0.1637,-2.1593,20.5126,-40.3393
2025-08-15T23:59:35.424Z,-0.7376,0.7472,0.6556,0.2736,-0.0934,0.1388,-2.0472,20.3686,-40.1174
2025-08-15T23:59:35.434Z,-0.6798,0.6321,0.8047,0.168,-0.1772,0.1097,-2.0241,20.1812,-40.2918
2025-08-15T23:59:35.445Z,-0.5421,0.6414,0.9002,0.0367,-0.2307,0.0716,-2.2828,20.3037,-40.4053
2025-08-15T23:59:35.456Z,-0.4054,0.6689,0.9681,-0.0953,-0.2318,0.0354,-2.3327,20.3518,-40.4946
2025-08-15T23:59:35.464Z,-0.2029,0.6216,1.0245,-0.2032,-0.1463,-0.0034,-2.4206,20.2846,-40.5805
2025-08-15T23:59:35.475Z,-0.0469,0.5533,0.9288,-0.2788,0.0083,-0.0424,-2.4496,20.5267,-40.4804
2025-08-15T23:59:35.484Z,-0.014,0.4744,0.7625,-0.3172,0.1556,-0.0732,-2.3126,20.4777,-40.5827
2025-08-15T23:59:35.495Z,-0.0873,0.3712,0.7029,-0.3223,0.2637,-0.0887,-2.3413,20.6758,-40.4502
2025-08-15T23:59:35.504Z,-0.184,0.2711,0.678,-0.2921,0.3315,-0.0998,-2.213,20.6395,-40.5895
2025-08-15T23:59:35.515Z,-0.246,0.1504,0.6384,-0.2284,0.3689,-0.095,-2.0727,20.7728,-40.4726
2025-08-15T23:59:35.524Z,-0.2678,-0.0199,0.5223,-0.1485,0.369,-0.0691,-1.9687,20.9084,-40.4205
2025-08-15T23:59:35.534Z,-0.3126,-0.1725,0.3666,-0.0499,0.344,-0.017,-1.9027,21.1549,-40.2568
2025-08-15T23:59:35.546Z,-0.3476,-0.3091,0.1857,0.0492,0.327,0.0445,-1.7811,20.8916,-40.2794
2025-08-15T23:59:35.554Z,-0.412,-0.4576,-0.0547,0.1393,0.335,0.0985,-1.6312,20.8551,-40.4032
2025-08-15T23:59:35.564Z,-0.4505,-0.634,-0.2976,0.2086,0.3624,0.1478,-1.5149,20.8068,-40.3997
2025-08-15T23:59:35.574Z,-0.4259,-0.8312,-0.5354,0.25,0.4159,0.2008,-1.1405,20.7448,-40.2841
2025-08-15T23:59:35.584Z,-0.3567,-0.9902,-0.7806,0.261,0.4987,0.2638,-1.0877,20.7183,-40.3887
2025-08-15T23:59:35.594Z,-0.2415,-1.0482,-1.0011,0.2567,0.5675,0.3346,-0.895,20.4149,-40.4735
2025-08-15T23:59:35.605Z,-0.1333,-0.9814,-1.0802,0.2521,0.6028,0.4055,-0.7793,20.4744,-40.7022
2025-08-15T23:59:35.614Z,0.0009,-0.9198,-1.0695,0.2484,0.6299,0.4559,-0.4633,20.3798,-40.8795
2025-08-15T23:59:35.624Z,0.1775,-0.9254,-1.0944,0.2498,0.6257,0.4697,-0.0924,20.3367,-40.6795
2025-08-15T23:59:35.634Z,0.3754,-0.9335,-1.0316,0.2602,0.5582,0.4514,0.3021,20.2012,-40.9074
2025-08-15T23:59:35.644Z,0.5728,-0.9617,-0.8657,0.2621,0.4425,0.3904,0.6723,20.0406,-40.8285
